ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-19-662-7,"EDITORIAL SANTILLANA, S.A. ",ELLOS MUEREN EN SILENCIO,"SAENZ, PABLO MARIA (AUTOR); MATOS, TULIO (ILUSTRADOR); EDITORIAL SANTILLANA (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-663-4,"EDITORIAL SANTILLANA, S.A. ",LIMON AZUL,"PEREZ DE LA IGLESIA, JANINA (AUTOR); MATOS, TULIO (ILUSTRADOR); EDITORIAL SANTILLANA (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-664-1,"EDITORIAL SANTILLANA, S.A. ",EL DETECTIVE CARDONA,"ALMANZAR RODRIGUEZ, ARMANDO (AUTOR); MATOS, TULIO (ILUSTRADOR); EDITORIAL SANTILLANA (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-665-8,"EDITORIAL SANTILLANA, S.A. ",IRIS LA TRAVIESA Y SU PERRO DE TRES COLORES,"NUÑEZ, RUDDY (ILUSTRADOR); EDITORIAL SANTILLANA (EDITOR LITERARIO); BALAGUER, ELIZABETH (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-666-5,"EDITORIAL SANTILLANA, S.A. ",MI PEDRO Y OTROS POEMAS,"UREÑA, SALOME (AUTOR); EDITORIAL SANTILLANA (EDITOR LITERARIO); MATOS, TULIO (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-667-2,"EDITORIAL SANTILLANA, S.A. ","CIENCIAS DE LA NATURALEZA 1, CIENCIAS DE LA TIERRA Y EL UNIVERSO","POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-668-9,"EDITORIAL SANTILLANA, S.A. ","CIENCIAS DE LA NATURALEZA 2, CIENCIAS DE LA VIDA","POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-9105-3-7,ULTIMOS MONSTRUOS EDITORES ,SOBRE LA GLORIA DE LA ESPADA,"PAYANO, IVAN (AUTOR); BAEZ, RODOLFO (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-609-29-5,EDITORIAL SANTUARIO ,ABYECTA,"PEÑA SOLANO, LAURISTELY (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-669-6,"EDITORIAL SANTILLANA, S.A. ","CIENCIAS DE LA NATURALEZA 3, CIENCIAS FISICAS","POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-670-2,"EDITORIAL SANTILLANA, S.A. ",BIOLOGIA 4 SECUNDARIA,"POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-671-9,"EDITORIAL SANTILLANA, S.A. ",QUIMICA 5 SECUNDARIA,"POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-672-6,"EDITORIAL SANTILLANA, S.A. ",CIENCIAS SOCIALES 4 SECUNDARIA,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-673-3,"EDITORIAL SANTILLANA, S.A.",CIENCIAS SOCIALES 5 SECUNDARIA,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-674-0,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA 4 SECUNDARIA,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),DIGITAL,ENERO-JUNIO,2018
978-9945-19-675-7,"EDITORIAL SANTILLANA, S.A.",LENGUA ESPAÑOLA 5 SECUNDARIA,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),DIGITAL,ENERO-JUNIO,2018
978-9945-19-676-4,"EDITORIAL SANTILLANA, S.A.",MATEMATICA 4 SECUNDARIA,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-677-1,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 5 SECUNDARIA,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-678-8,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA 1,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),DIGITAL,ENERO-JUNIO,2018
978-9945-19-679-5,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA 2,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),DIGITAL,ENERO-JUNIO,2018
978-9945-19-680-1,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA 3,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),DIGITAL,ENERO-JUNIO,2018
978-9945-19-681-8,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 1,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-682-5,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 2,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-683-2,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 3,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-684-9,"EDITORIAL SANTILLANA, S.A. ",CIENCIAS SOCIALES 1,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-685-6,"EDITORIAL SANTILLANA, S.A.",CIENCIAS SOCIALES 2,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-686-3,"EDITORIAL SANTILLANA, S.A.",CIENCIAS SOCIALES 3,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-9110-2-2,PUBLICACIONES LIBERTAD /ESDRAC MOLINA ROSA ,LA ALABANZA COMO INSTRUMENTO DE GUERRA,"SANTOS SANTOS, FRANCIS JOSE (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-9110-3-9,PUBLICACIONES LIBERTAD /ESDRAC MOLINA ROSA ,MADRES DE RODILLAS HIJOS DE PIE,"TORRES BURGOS, JAYSON (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-9110-4-6,PUBLICACIONES LIBERTAD /ESDRAC MOLINA ROSA ,HEBRAISMOS,"DUARTE MARTINEZ, ANGEL AGUSTIN (AUTOR); DE JESUS DE LEON, ELVIS (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-13-196-3,"EDITORA MEDIABYTE, S.R.L. ",BUENA ORTOGRAFIA SIN ESFUERZO CON PNL,"GABARRO BERBEGAL, DANIEL (AUTOR); PUIGARNAU GRACIA, CONXITA (COLABORADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-9024-3-3,EDITORA POETAS DE LA ERA ,CANCAMOS PARA MI VOZ,"ALMONTE, GLADYS (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-580-49-5,UNIVERSIDAD ABIERTA PARA ADULTOS ,DERECHO ADMINISTRATIVO Y SUS PROCEDIMIENTOS,"HERNANDEZ, PEDRO PABLO (AUTOR); TEJADA, LENNYS (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-8555-5-5,FUNDACION PATRIA VISUAL,NOCIONES HISTORICAS DEL INSTITUTO DOMINICANO DE SEGUROS SOCIALES,"PICHARDO, ALEJANDRO (AUTOR); SUAZO RUIZ, SOCRATES (EDITOR); GONZALEZ, ROBERTO IVAN (COLABORADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-17-678-0,EDICIONES SM ,"HOLA, JESUS 4. RELIGION CATOLICA","ROGERO, ANNA (DIRECTOR); VICTORINO, MERILIZA (DIAGRAMADOR); PATIÑO, SILA (EDITOR); MUÑOZ, HOTENSIA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-17-679-7,EDICIONES SM,"HOLA, JESUS 5. RELIGION CATOLICA","ROGERO, ANNA (DIRECTOR); VICTORINO, MERILIZA (DIAGRAMADOR); PATIÑO, SILA (EDITOR); MUÑOZ, HORTENSIA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-17-680-3,EDICIONES SM ,"HOLA, JESUS 6. RELIGION CATOLICA","ROGERO, ANNA (DIRECTOR); VICTORINO, MERILIZA (DIAGRAMADOR); EQUIPO EDICIONES SM (AUTOR); PATIÑO, SILA (EDITOR); MUÑOZ, HORTENSIA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-17-681-0,EDICIONES SM,"HOLA, JESUS 4. SECUNDARIA. GUIA DIDACTICA","ROGERO, ANNA (DIRECTOR); EQUIPO EDICIONES SM (AUTOR); VICTORINO, MERILIZA (DIAGRAMADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-17-682-7,EDICIONES SM,"HOLA, JESUS 5. SECUNDARIA. GUIA DIDACTICA","ROGERO, ANNA (DIRECTOR); VICTORINO, MERILIZA (DIAGRAMADOR); EQUIPO EDICIONES SM (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-17-683-4,EDICIONES SM,"HOLA, JESUS 6. SECUNDARIA. GUIA DIDACTICA","ROGERO, ANNA (DIRECTOR); VICTORINO, MERILIZA (DIAGRAMADOR); EQUIPO EDICIONES SM (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-687-0,"EDITORIAL SANTILLANA, S.A.",LENGUA ESPAÑOLA 4 SECUNDARIA,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-688-7,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA 5 SECUNDARIA,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-689-4,"EDITORIAL SANTILLANA, S.A. ",APRECIACION Y PRODUCCION LITERARIAS 4,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-690-0,"EDITORIAL SANTILLANA, S.A. ",APRECIACION Y PRODUCCION LITERARIAS 5,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-691-7,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 4 SECUNDARIA,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-692-4,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 5 SECUNDARIA,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-693-1,"EDITORIAL SANTILLANA, S.A.",MATEMATICA FINANCIERA Y TECNOLOGIA 4,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-694-8,"EDITORIAL SANTILLANA, S.A. ","ESTADISTICA, PROBABILIDAD Y TECNOLOGIA","MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-695-5,"EDITORIAL SANTILLANA, S.A.",BIOLOGIA 4 SECUNDARIA,"POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-696-2,"EDITORIAL SANTILLANA, S.A.",QUIMICA 5 SECUNDARIA,"POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-697-9,"EDITORIAL SANTILLANA, S.A. ",BIOLOGIA Y COMPUTACION 4,"POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-698-6,"EDITORIAL SANTILLANA, S.A. ",QUIMICA Y COMPUTACION 5,"POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-699-3,"EDITORIAL SANTILLANA, S.A. ",CIENCIAS SOCIALES 4 SECUNDARIA,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-700-6,"EDITORIAL SANTILLANA, S.A. ",CIENCIAS SOCIALES 5 SECUNDARIA,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-701-3,"EDITORIAL SANTILLANA, S.A. ",FILOSOFIA SOCIAL Y PENSAMIENTO DOMINICANO 4,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-702-0,"EDITORIAL SANTILLANA, S.A. ",GEOGRAFIA HUMANA Y DEMOGRAFIA 5,"CASTRO R., ERIC SANTIAGO (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-703-7,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA 4 SECUNDARIA,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-704-4,"EDITORIAL SANTILLANA, S.A.",LENGUA ESPAÑOLA 5 SECUNDARIA,JORGE ZAMORA MATO (AUTOR); EDITORIAL SANTILLANA (COLABORADOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-705-1,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 4 SECUNDARIA,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-706-8,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 5 SECUNDARIA,"MOLINA MOLOON, ANDRES (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-707-5,"EDITORIAL SANTILLANA, S.A. ",BIOLOGIA 4 SECUNDARIA,"POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-708-2,"EDITORIAL SANTILLANA, S.A. ",QUIMICA 5 SECUNDARIA,"POLANCO, KENNIDA (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-709-9,"EDITORIAL SANTILLANA, S.A.",CIENCIAS SOCIALES 4 SECUNDARIA,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-710-5,"EDITORIAL SANTILLANA, S.A. ",CIENCIAS SOCIALES 5 SECUNDARIA,"CAPELLAN ALMONTE, FANNY (AUTOR); EDITORIAL SANTILLANA (EDITOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-711-2,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA 4 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-712-9,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA 5 SECUNDARIA,EDITORIAL SANTILLANA (AUTOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-713-6,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 4 SECUNDARIA,EDITORIAL SANTILLANA (AUTOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-714-3,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA 5 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-715-0,"EDITORIAL SANTILLANA, S.A.",CIENCIAS SOCIALES 4 SECUNDARIA,EDITORIAL SANTILLANA (AUTOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-716-7,"EDITORIAL SANTILLANA, S.A. ",CIENCIAS SOCIALES 5 SECUNDARIA,EDITORIAL SANTILLANA (AUTOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-717-4,"EDITORIAL SANTILLANA, S.A. ",BIOLOGIA 4 SECUNDARIA,EDITORIAL SANTILLANA (AUTOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-718-1,"EDITORIAL SANTILLANA, S.A. ",QUIMICA 5 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-468-74-8,ALFA & OMEGA ,MI VIDA EN POEMAS,"GUTIERREZ TABAR, CRISTELLA (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-09-070-3,"PEREZ, LUIS REYNALDO ",DIEZ AÑOS BLOGUEANDO MUSICA,"DIAZ, ROSSY (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-9116-0-2,LIBERAETHERIOUS,PRIMERAS TINTAS,"LORA, DENNISE (AUTOR); PEÑA, CINTHYA (AUTOR); ALVAREZ, PATRICIA (AUTOR); Y OTROS (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-16-870-9,"EDITORA BUHO, S.R.L. ",HISTORIA DE LA PSICOLOGIA EN REPUBLICA DOMINICANA,"HERNANDEZ, CARLOS R. (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-9110-5-3,PUBLICACIONES LIBERTAD /ESDRAC MOLINA ROSA,APRENDE FACILMENTE EL ARTE DE HABLAR EN PUBLICO,"LOPEZ MASSANET, ANDREINA (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-9075-3-7,MUJERES POETAS INTERNACIONAL ,FAROS DE ESPERANZA,"URIBE, JAEL (COMPILADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-719-8,"EDITORIAL SANTILLANA, S.A. ",INFORMATICA 1 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-720-4,"EDITORIAL SANTILLANA, S.A. ",INFORMATICA 2 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-721-1,"EDITORIAL SANTILLANA, S.A.",INFORMATICA 3 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-9097-2-2,CENTRO CULTURAL EDUARDO LEON JIMENES,LA PASION DEL COLECCIONISMO,"LEON DE JORGE, MARIA AMALIA (AUTOR); RUDMAN, ISAAC (COLABORADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-722-8,"EDITORIAL SANTILLANA, S.A. ",INFORMATICA 4 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-723-5,"EDITORIAL SANTILLANA, S.A. ",INFORMATICA 5 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-724-2,"EDITORIAL SANTILLANA, S.A. ",FORMACION INTEGRAL HUMANA Y RELIGIOSA 4 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-725-9,"EDITORIAL SANTILLANA, S.A. ",FORMACION HUMANA INTEGRAL Y RELIGIOSA 5 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-726-6,"EDITORIAL SANTILLANA, S.A. ",EDUCACION ARTISTICA 4 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-727-3,"EDITORIAL SANTILLANA, S.A.",EDUCACION ARTISTICA 5 SECUNDARIA,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-728-0,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA INTEGRADA 1,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-729-7,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA INTEGRADA 2,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-730-3,"EDITORIAL SANTILLANA, S.A. ",LENGUA ESPAÑOLA INTEGRADA 3,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-597-47-9,AMIGO DEL HOGAR ,RECINTO DEL FUEGO,"COMPRES BENCOSME, CARMEN SOFIA (AUTOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-731-0,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA INTEGRADA 1,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-732-7,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA INTEGRADA 2,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-733-4,"EDITORIAL SANTILLANA, S.A. ",MATEMATICA INTEGRADA 3,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-734-1,"EDITORIAL SANTILLANA, S.A. ",COMPENDIO DEL ESTUDIANTE 4,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-735-8,"EDITORIAL SANTILLANA, S.A. ",COMPENDIO DEL ESTUDIANTE 5,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-9063-7-0,MINISTERIO DE MEDIO AMBIENTE Y RECURSOS NATURALES,POLITICA DE ACCESO A RECURSOS GENETICOS Y DISTRIBUCION DE BENEFICIOS (ABS) DE LA REPUBLICA DOMINICANA,"MATEO, JOSE MANUEL (COLABORADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-736-5,"EDITORIAL SANTILLANA, S.A. ",COMPENDIO DEL ESTUDIANTE 6,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-582-58-1,BANCO CENTRAL DE LA REPUBLICA DOMINICANA ,SOLO EL NAUFRAGIO,"GOMEZ BERAS, CARLOS ROBERTO (AUTOR); FROMETA, MIGUEL (IMPRESOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-9097-3-9,CENTRO CULTURAL EDUARDO LEON JIMENES ,TESOROS DEL ARTE TAINO ,"ULLOA HUNG, JORGE (AUTOR); ANDUJAR PERSINAL, CARLOS (AUTOR); LEON DE JORGE, MARIA AMELIA (COLABORADOR); GARCIA AREVALO, MANUEL (COLABORADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-9063-8-7,MINISTERIO DE MEDIO AMBIENTE Y RECURSOS NATURALES ,"REGLAMENTO DE ACCESO A RECURSOS GENETICOS, CONOCIMIENTOS TRADICIONALES ASOCIADOS Y DISTRIBUCION JUSTA Y EQUITATIVA DE BENEFICIOS DE LA REPUBLICA DOMINICANA","MATEO, JOSE MANUEL (COLABORADOR)",IMPRESO,ENERO-JUNIO,2018
978-9945-491-59-3,PALABRA MULTIMEDIA ,COMO OFRENDA EL CATOLICO,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-491-60-9,PALABRA MULTIMEDIA ,PARA VIVIR LA CUARESMA,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-491-61-6,PALABRA MULTIMEDIA ,PARA VIVIR LA PASCUA,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-491-62-3,PALABRA MULTIMEDIA ,DISCERNIMIENTO DE ESPIRITUS,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-491-63-0,PALABRA MULTIMEDIA ,FAMILIA SIN CRISIS,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-491-64-7,PALABRA MULTIMEDIA,NUESTRA SEÑORA DE LA ALTAGRACIA,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-491-65-4,PALABRA MULTIMEDIA,NAVIDADES NUESTRAS,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-491-67-8,PALABRA MULTIMEDIA ,VALORES Y VIRTUDES,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-491-66-1,PALABRA MULTIMEDIA,ETICA Y VALORES,"DE LA ROSA Y CARPIO, MONSEÑOR RAMON BENITO (AUTOR)",DIGITAL,ENERO-JUNIO,2018
978-9945-19-737-2,"EDITORIAL SANTILLANA, S.A. ",UN REBULU EN LA EBANISTERIA,"FUEI-LIAO, YUAN (ADAPTADOR); NUÑEZ, RUDDY (ILUSTRADOR); EDITORIAL SANTILLANA (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2018
978-9945-19-738-9,"EDITORIAL SANTILLANA, S.A. ",PARACHUTE 1,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-739-6,"EDITORIAL SANTILLANA, S.A. ",PARACHUTE 2,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-740-2,"EDITORIAL SANTILLANA, S.A. ",PARACHUTE 3,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-741-9,"EDITORIAL SANTILLANA, S.A. ",PARACHUTE 4,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-742-6,"EDITORIAL SANTILLANA, S.A.",PARACHUTE 1,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-743-3,"EDITORIAL SANTILLANA, S.A. ",PARACHUTE 2,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-744-0,"EDITORIAL SANTILLANA, S.A. ",PARACHUTE 3,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
978-9945-19-745-7,"EDITORIAL SANTILLANA, S.A. ",PARACHUTE 4,EDITORIAL SANTILLANA (EDITOR),IMPRESO,ENERO-JUNIO,2018
