ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-09-558-6,"COLLADO TAVERAS, JESUS MIGUEL FAUSTINO ",LA PRE Y POS CORRUPCION EN REPUBLICA DOMINICANA,"COLLADO, FAUSTINO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-559-3,"VENTURA BETANCES, YEIMY ESTHER",NINGUNO TENGA EN POCO TU JUVENTUD,"VENTURA BETANCES, YEIMY ESTHER (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-585-2,"FRIAS BAEZ , DAMARIS MAGALY ",DEL AMOR AL ARTE,"FRIAS BAEZ, DAMARIS MAGALY (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-618-18-1,AMIGO DEL HOGAR,REMI,"MENARD, LISE (AUTOR); GUZMAN, EDUARD (TRADUCTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-484-40-3,FUNDACION LITERARIA ANIBAL MONTAÑO ,SAN GREGORIO DE NIGUA,"HEREDIA VALDEZ, CELESTINA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-468-89-2,ALFA & OMEGA ,DIENTELECHE #4,"TOBOGAN, REVISTA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-617-85-6,EDITORIAL SANTUARIO ,"ANNY, LA NIÑA DE MIS SUEÑOS",JULIANA E. GONZALEZ SANCHEZ (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-562-3,"FERNANDEZ, ALEXANDRA CAROLINA",EL ADMIRADOR SECRETO,"FERNANDEZ, ALEXANDRA CAROLINA (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-09-563-0,"MENA ALCANTARA, MIGUEL ",NARRATIVA COMPLETA,"RISCO BERMUDEZ, RENE DEL (AUTOR); MENA, MIGUEL D. (EDITOR LITERARIO)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-561-6,"DURAN DE PEREYRA, JANEIRA MASIEL ",RAINBOX,"DURAN DE PEREYRA, JANEIRA  MASIEL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-560-9,"MEJIA ARNAL, GONZALO EDUARDO ",EL DEPORTE DOMINICANO Y SU ENTORNO,"MEJIA ARNAL, GONZALO EDUARDO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
